,word,wordlen
189,acquaint,8
190,acquaintance,12
191,acquiesce,9
192,acquiescent,11
193,acquire,7
194,acquisition,11
195,acquisitive,11
196,acquit,6
197,acquittal,9
198,acquitting,10
199,acre,4
200,acreage,7
201,acrid,5
202,acrimonious,11
203,acrimony,8
204,acrobacy,8
205,acrobat,7
206,acrobatic,9
207,acronym,7
208,acropolis,9
209,across,6
210,acrylate,8
211,acrylic,7
212,actaeon,7
213,actinic,7
214,actinide,8
215,actinium,8
216,actinolite,10
217,actinometer,11
218,activate,8
219,activation,10
220,activism,8
221,acton,5
222,actor,5
223,actress,7
224,acts,4
225,actual,6
226,actuarial,9
227,actuate,7
228,acuity,6
229,acumen,6
230,acute,5
231,acyclic,7
232,adage,5
233,adagio,6
234,adair,5
235,adam,4
236,adamant,7
237,adams,5
238,adamson,7
239,adapt,5
240,adaptation,10
241,adaptive,8
242,added,5
243,addend,6
244,addenda,7
245,addendum,8
246,addict,6
247,addis,5
248,addison,7
249,addition,8
250,additional,10
251,additive,8
252,addle,5
253,address,7
254,addressee,9
255,addressograph,13
256,adduce,6
257,adelaide,8
258,adele,5
259,adelia,6
260,aden,4
261,adenine,7
262,adenoma,7
263,adenosine,9
264,adept,5
265,adequacy,8
266,adequate,8
267,adhere,6
268,adherent,8
269,adhesion,8
270,adhesive,8
271,adiabatic,9
272,adieu,5
273,adipic,6
274,adirondack,10
275,adjacent,8
276,adject,6
277,adjectival,10
278,adjective,9
279,adjoin,6
280,adjoint,7
281,adjourn,7
282,adjudge,7
283,adjudicate,10
284,adjunct,7
285,adjust,6
286,adjutant,8
287,adkins,6
288,adler,5
289,administer,10
290,administrable,13
291,administrate,12
292,administratrix,14
293,admiral,7
294,admiralty,9
295,admiration,10
296,admire,6
297,admissible,10
298,admission,9
299,admit,5
300,admittance,10
301,admitted,8
302,admitting,9
303,admix,5
304,admixture,9
305,admonish,8
306,admonition,10
307,adobe,5
308,adolescent,10
309,adolph,6
310,adolphus,8
311,adonis,6
312,adopt,5
313,adoption,8
314,adoptive,8
315,adore,5
316,adorn,5
317,adposition,10
318,adrenal,7
319,adrenaline,10
320,adrian,6
321,adriatic,8
322,adrienne,8
323,adrift,6
324,adroit,6
325,adsorb,6
326,adsorbate,9
327,adsorption,10
328,adsorptive,10
329,adulate,7
330,adult,5
331,adulterate,10
332,adulterous,10
333,adultery,8
334,adulthood,9
335,advance,7
336,advantage,9
337,advantageous,12
338,advent,6
339,adventitious,12
340,adventure,9
341,adventurous,11
342,adverb,6
343,adverbial,9
344,adversary,9
345,adverse,7
346,advert,6
347,advertise,9
348,advice,6
349,advisable,9
350,advise,6
351,advisee,7
352,advisor,7
353,advisory,8
354,advocacy,8
355,advocate,8
356,aegean,6
357,aegis,5
358,aeneas,6
359,aeneid,6
360,aeolian,7
361,aeolus,6
362,aerate,6
363,aerial,6
364,aerobacter,10
365,aerobic,7
366,aerodynamic,11
367,aerogene,8
368,aeronautic,10
369,aerosol,7
370,aerospace,9
371,aeschylus,9
372,aesthete,8
373,aesthetic,9
374,afar,4
375,affable,7
376,affair,6
377,affect,6
378,affectate,9
379,affectation,11
380,affectionate,12
381,afferent,8
382,affiance,8
383,affidavit,9
384,affiliate,9
385,affine,6
386,affinity,8
387,affirm,6
388,affirmation,11
389,affirmative,11
390,affix,5
391,afflict,7
392,affluence,9
393,affluent,8
394,afford,6
395,afforest,8
396,afforestation,13
397,affricate,9
398,affront,7
399,afghan,6
400,afghanistan,11
401,aficionado,10
402,afield,6
403,afire,5
404,aflame,6
405,afloat,6
406,afoot,5
407,aforementioned,14
408,aforesaid,9
409,aforethought,12
410,afoul,5
411,afraid,6
412,afresh,6
413,africa,6
414,afro,4
415,aftereffect,11
416,afterglow,9
417,afterimage,10
418,afterlife,9
419,aftermath,9
420,afternoon,9
421,afterthought,12
422,afterward,9
423,afterword,9
424,again,5
425,against,7
426,agamemnon,9
427,agate,5
428,agatha,6
429,agave,5
430,agee,4
431,agenda,6
432,agent,5
433,agglomerate,11
434,agglutinate,11
435,agglutinin,10
436,aggravate,9
437,aggregate,9
438,aggression,10
439,aggressive,10
440,aggressor,9
441,aggrieve,8
442,aghast,6
443,agile,5
444,aging,5
445,agitate,7
446,agleam,6
447,agnes,5
448,agnew,5
449,agnomen,7
450,agnostic,8
451,agone,5
452,agony,5
453,agouti,6
454,agrarian,8
455,agree,5
456,agreeable,9
457,agreed,6
458,agreeing,8
459,agribusiness,12
460,agricola,8
461,agricultural,12
462,agriculture,11
463,agrimony,8
464,ague,4
465,agway,5
466,ahead,5
467,ahem,4
468,ahmadabad,9
469,ahmedabad,9
470,ahoy,4
471,aida,4
472,aide,4
473,aides,5
474,aiken,5
475,ailanthus,9
476,aile,4
477,aileen,6
478,aileron,7
479,ainu,4
480,airborne,8
481,aircraft,8
482,airdrop,7
483,airedale,8
484,aires,5
485,airfare,7
486,airfield,8
487,airflow,7
488,airfoil,7
489,airframe,8
490,airlift,7
491,airline,7
492,airlock,7
493,airmail,7
494,airman,6
495,airmass,7
496,airmen,6
497,airpark,7
498,airplane,8
499,airport,7
500,airspace,8
501,airspeed,8
502,airstrip,8
503,airtight,8
504,airway,6
505,airy,4
506,aisle,5
507,aitken,6
508,ajar,4
509,ajax,4
510,akers,5
511,akin,4
512,akron,5
513,alabama,7
514,alabamian,9
515,alabaster,9
516,alacrity,8
517,alai,4
518,alameda,7
519,alamo,5
520,alan,4
521,alarm,5
522,alaska,6
523,alba,4
524,albacore,8
525,albania,7
526,albanian,8
527,albany,6
528,albatross,9
529,albeit,6
530,alberich,8
531,albert,6
532,alberta,7
533,alberto,7
534,albrecht,8
535,albright,8
536,album,5
537,albumin,7
538,albuquerque,11
539,alcestis,8
540,alchemy,7
541,alcmena,7
542,alcoa,5
543,alcohol,7
544,alcoholic,9
545,alcoholism,10
546,alcott,6
547,alcove,6
548,aldebaran,9
549,aldehyde,8
550,alden,5
551,alder,5
552,alderman,8
553,aldermen,8
554,aldrich,7
555,aldrin,6
556,alec,4
557,aleck,5
558,aleph,5
559,alert,5
560,alewife,7
561,alex,4
562,alexander,9
563,alexandra,9
564,alexandre,9
565,alexandria,10
566,alexei,6
567,alexis,6
568,alfalfa,7
569,alfonso,7
570,alfred,6
571,alfredo,7
572,alfresco,8
573,alga,4
574,algae,5
575,algaecide,9
576,algal,5
577,algebra,7
578,algebraic,9
579,algenib,7
580,alger,5
581,algeria,7
582,algerian,8
583,algiers,7
584,alginate,8
585,algol,5
586,algonquin,9
587,algorithm,9
588,algorithmic,11
589,alhambra,8
590,alia,4
591,alias,5
592,alibi,5
593,alice,5
594,alicia,6
595,alien,5
596,alienate,8
597,alight,6
598,align,5
599,alike,5
600,alimony,7
601,aliphatic,9
602,aliquot,7
603,alison,6
604,alistair,8
605,alive,5
606,alizarin,8
607,alkali,6
608,alkaline,8
609,alkaloid,8
610,alkane,6
611,alkene,6
612,allah,5
613,allan,5
614,allay,5
615,allegate,8
616,allegation,10
617,allege,6
618,allegheny,9
619,allegiant,9
620,allegoric,9
621,allegory,8
622,allegra,7
623,allegro,7
624,allele,6
625,allemand,8
626,allen,5
627,allentown,9
628,allergic,8
629,allergy,7
630,alleviate,9
631,alley,5
632,alleyway,8
633,alliance,8
634,allied,6
635,alligator,9
636,allis,5
637,allison,7
638,alliterate,10
639,allocable,9
640,allocate,8
641,allot,5
642,allotropic,10
643,allotted,8
644,allotting,9
645,allow,5
646,allowance,9
647,alloy,5
648,allspice,8
649,allstate,8
650,allude,6
651,allure,6
652,allusion,8
653,allusive,8
654,alluvial,8
655,alluvium,8
656,ally,4
657,allyl,5
658,allyn,5
659,alma,4
660,almaden,7
661,almagest,8
662,almanac,7
663,almighty,8
664,almond,6
665,almost,6
666,aloe,4
667,aloft,5
668,aloha,5
669,alone,5
670,along,5
671,alongside,9
672,aloof,5
673,aloud,5
674,alpenstock,10
675,alpert,6
676,alpha,5
677,alphabet,8
678,alphabetic,10
679,alphameric,10
680,alphanumeric,12
681,alpheratz,9
682,alphonse,8
683,alpine,6
684,alps,4
685,already,7
686,alsatian,8
687,also,4
688,alsop,5
689,altair,6
690,altar,5
691,alter,5
692,alterate,8
693,alteration,10
694,altercate,9
695,alterman,8
696,altern,6
697,alternate,9
698,althea,6
699,although,8
700,altimeter,9
701,altitude,8
702,alto,4
703,altogether,10
704,alton,5
705,altruism,8
706,altruist,8
707,alum,4
708,alumina,7
709,aluminate,9
710,alumna,6
711,alumnae,7
712,alumni,6
713,alumnus,7
714,alundum,7
715,alva,4
716,alvarez,7
717,alveolar,8
718,alveoli,7
719,alveolus,8
720,alvin,5
721,alway,5
722,always,6
723,alyssum,7
724,amadeus,7
725,amalgam,7
726,amalgamate,10
727,amanita,7
728,amanuensis,10
729,amaranth,8
730,amarillo,8
731,amass,5
732,amateur,7
733,amateurish,10
734,amatory,7
735,amaze,5
736,amazon,6
737,ambassador,10
738,amber,5
739,ambiance,8
740,ambidextrous,12
741,ambient,7
742,ambiguity,9
743,ambiguous,9
744,ambition,8
745,ambitious,9
746,ambivalent,10
747,amble,5
748,ambling,7
749,ambrose,7
750,ambrosia,8
751,ambrosial,9
752,ambulant,8
753,ambulate,8
754,ambulatory,10
755,ambuscade,9
756,ambush,6
757,amelia,6
758,ameliorate,10
759,amen,4
760,amend,5
761,amende,6
762,amerada,7
763,america,7
764,american,8
765,americana,9
766,americanism,11
767,americium,9
768,ames,4
769,ameslan,7
770,amethyst,8
771,amethystine,11
772,amherst,7
773,amicable,8
774,amid,4
775,amide,5
776,amidst,6
777,amigo,5
778,amino,5
779,aminobenzoic,12
780,amiss,5
781,amity,5
782,amman,5
783,ammerman,8
784,ammeter,7
785,ammo,4
786,ammonia,7
787,ammoniac,8
788,ammonium,8
789,ammunition,10
790,amnesia,7
791,amoco,5
792,amoeba,6
793,amoebae,7
794,amok,4
795,among,5
796,amongst,7
797,amoral,6
798,amorous,7
799,amorphous,9
800,amort,5
801,amos,4
802,amount,6
803,amperage,8
804,ampere,6
805,ampersand,9
806,ampex,5
807,amphetamine,11
808,amphibian,9
809,amphibious,10
810,amphibole,9
811,amphibology,11
812,amphioxis,9
813,ample,5
814,amplifier,9
815,amplify,7
816,amplitude,9
817,amply,5
818,amputate,8
819,amputee,7
820,amra,4
821,amsterdam,9
822,amtrak,6
823,amulet,6
824,amuse,5
825,amygdaloid,10
826,anabaptist,10
827,anabel,6
828,anachronism,11
829,anachronistic,13
830,anaconda,8
831,anaerobic,9
832,anaglyph,8
833,anagram,7
834,anaheim,7
835,analeptic,9
836,analgesic,9
837,analogous,9
838,analogue,8
839,analogy,7
840,analyses,8
841,analysis,8
842,analyst,7
843,analytic,8
844,anamorphic,10
845,anaplasmosis,12
846,anarch,6
847,anarchic,8
848,anarchy,7
849,anastasia,9
850,anastigmat,10
851,anastigmatic,12
852,anastomosis,11
853,anastomotic,11
854,anathema,8
855,anatole,7
856,anatomic,8
857,anatomy,7
858,ancestor,8
859,ancestral,9
860,ancestry,8
861,anchor,6
862,anchorage,9
863,anchorite,9
864,anchoritism,11
865,anchovy,7
866,ancient,7
867,ancillary,9
868,andean,6
869,andersen,8
870,anderson,8
871,andes,5
872,andesine,8
873,andesite,8
874,andiron,7
875,andorra,7
876,andover,7
877,andre,5
878,andrea,6
879,andrei,6
880,andrew,6
881,andrews,7
882,andromache,10
883,andromeda,9
884,andy,4
885,anecdotal,9
886,anecdote,8
887,anemone,7
888,anent,5
889,anew,4
890,angel,5
891,angela,6
892,angeles,7
893,angelfish,9
894,angelic,7
895,angelica,8
896,angelina,8
897,angeline,8
898,angelo,6
899,anger,5
900,angie,5
901,angiosperm,10
902,angle,5
903,angles,6
904,anglican,8
905,anglicanism,11
906,angling,7
907,anglo,5
908,anglophobia,11
909,angola,6
910,angora,6
911,angry,5
912,angst,5
913,angstrom,8
914,anguish,7
915,angular,7
916,angus,5
917,anharmonic,10
918,anheuser,8
919,anhydride,9
920,anhydrite,9
921,anhydrous,9
922,aniline,7
923,animadversion,13
924,animadvert,10
925,animal,6
926,animate,7
927,animism,7
928,animosity,9
929,anion,5
930,anionic,7
931,anise,5
932,aniseikonic,11
933,anisotropic,11
934,anisotropy,10
935,anita,5
936,ankara,6
937,ankle,5
938,anna,4
939,annal,5
940,annale,6
941,annalen,7
942,annals,6
943,annapolis,9
944,anne,4
945,anneal,6
946,annette,7
947,annex,5
948,annie,5
949,annihilate,10
950,anniversary,11
951,annotate,8
952,announce,8
953,annoy,5
954,annoyance,9
955,annual,6
956,annuity,7
957,annul,5
958,annular,7
959,annuli,6
960,annulled,8
961,annulling,9
962,annulus,7
963,annum,5
964,annunciate,10
965,anode,5
966,anodic,6
967,anomalous,9
968,anomaly,7
969,anomie,6
970,anonymity,9
971,anonymous,9
972,anorexia,8
973,anorthic,8
974,anorthite,9
975,anorthosite,11
976,another,7
977,anselm,6
978,anselmo,7
979,answer,6
980,antacid,7
981,antaeus,7
982,antagonism,10
983,antagonist,10
984,antagonistic,12
985,antarctic,9
986,antarctica,10
987,antares,7
988,ante,4
989,anteater,8
990,antebellum,10
991,antecedent,10
992,antedate,8
993,antelope,8
994,antenna,7
995,antennae,8
996,anterior,8
997,anteroom,8
998,anthem,6
999,anther,6
1000,anthology,9
1001,anthony,7
1002,anthracite,10
1003,anthracnose,11
1004,anthropogenic,13
1005,anthropology,12
1006,anthropomorphic,15
1007,anthropomorphism,16
1008,anti,4
1009,antic,5
1010,anticipate,10
1011,anticipatory,12
1012,antietam,8
1013,antigen,7
1014,antigone,8
1015,antigorite,10
1016,antimony,8
1017,antioch,7
1018,antipasto,9
1019,antipathy,9
1020,antiperspirant,14
1021,antiphonal,10
1022,antipode,8
1023,antipodean,10
1024,antipodes,9
1025,antiquarian,11
1026,antiquary,9
1027,antiquated,10
1028,antique,7
1029,antiquity,9
1030,antisemite,10
1031,antisemitic,11
1032,antisemitism,12
1033,antithetic,10
1034,antler,6
1035,antoine,7
1036,antoinette,10
1037,anton,5
1038,antonio,7
1039,antony,6
1040,antonym,7
1041,antwerp,7
1042,anus,4
1043,anvil,5
1044,anxiety,7
1045,anxious,7
1046,anybody,7
1047,anyhow,6
1048,anyone,6
1049,anyplace,8
1050,anything,8
1051,anyway,6
1052,anywhere,8
1053,aorta,5
1054,apace,5
1055,apache,6
1056,apart,5
1057,apartheid,9
1058,apathetic,9
1059,apathy,6
1060,apatite,7
1061,aperiodic,9
1062,aperture,8
1063,apex,4
1064,aphasia,7
1065,aphasic,7
1066,aphelion,8
1067,aphid,5
1068,aphorism,8
1069,aphrodite,9
1070,apices,6
1071,apiece,6
1072,aplomb,6
1073,apocalypse,10
1074,apocalyptic,11
1075,apocrypha,9
1076,apocryphal,10
1077,apogee,6
1078,apollo,6
1079,apollonian,10
1080,apologetic,10
1081,apologia,8
1082,apology,7
1083,apostate,8
1084,apostle,7
1085,apostolic,9
1086,apostrophe,10
1087,apothecary,10
1088,apothegm,8
1089,apotheosis,10
1090,appalachia,10
1091,appall,6
1092,appanage,8
1093,apparatus,9
1094,apparel,7
1095,apparent,8
1096,apparition,10
1097,appeal,6
1098,appear,6
1099,appearance,10
1100,appeasable,10
1101,appease,7
1102,appellant,9
1103,appellate,9
1104,append,6
1105,appendage,9
1106,appendices,10
1107,appendix,8
1108,apperception,12
1109,appertain,9
1110,appetite,8
1111,appian,6
1112,applaud,7
1113,applause,8
1114,apple,5
1115,appleby,7
1116,applejack,9
1117,appleton,8
1118,appliance,9
1119,applicable,10
1120,applicant,9
1121,applicate,9
1122,application,11
1123,applied,7
1124,applique,8
1125,apply,5
1126,appoint,7
1127,appointe,8
1128,appointee,9
1129,apport,6
1130,apportion,9
1131,apposite,8
1132,apposition,10
1133,appraisal,9
1134,appraise,8
1135,appreciable,11
1136,appreciate,10
1137,apprehend,9
1138,apprehension,12
1139,apprehensive,12
1140,apprentice,10
1141,apprise,7
1142,approach,8
1143,approbation,11
1144,appropriable,12
1145,appropriate,11
1146,approval,8
1147,approve,7
1148,approximable,12
1149,approximant,11
1150,approximate,11
1151,apricot,7
1152,april,5
1153,apron,5
1154,apropos,7
1155,apse,4
1156,aptitude,8
1157,aqua,4
1158,aquarium,8
1159,aquarius,8
1160,aquatic,7
1161,aqueduct,8
1162,aqueous,7
1163,aquila,6
1164,aquinas,7
1165,arab,4
1166,arabesque,9
1167,arabia,6
1168,arabic,6
1169,araby,5
1170,arachne,7
1171,arachnid,8
1172,arbiter,7
1173,arbitrage,9
1174,arbitrary,9
1175,arbitrate,9
1176,arboreal,8
1177,arboretum,9
1178,arbutus,7
1179,arcade,6
1180,arcadia,7
1181,arcana,6
1182,arcane,6
1183,arccos,6
1184,arccosine,9
1185,arch,4
1186,archae,6
1187,archaic,7
1188,archaism,8
1189,archangel,9
1190,archbishop,10
1191,archdiocese,11
1192,archenemy,9
1193,archer,6
1194,archery,7
1195,archetype,9
1196,archetypical,12
1197,archfool,8
1198,archibald,9
1199,archimedes,10
1200,arching,7
1201,archipelago,11
1202,architect,9
1203,architectonic,13
1204,architectural,13
1205,architecture,12
1206,archival,8
1207,archive,7
1208,arcing,6
1209,arclength,9
1210,arcsin,6
1211,arcsine,7
1212,arctan,6
1213,arctangent,10
1214,arctic,6
1215,arcturus,8
1216,arden,5
1217,ardency,7
1218,ardent,6
1219,arduous,7
1220,area,4
1221,areaway,7
1222,areawide,8
1223,arena,5
1224,arenaceous,10
1225,arequipa,8
1226,ares,4
1227,argentina,9
1228,argillaceous,12
1229,arginine,8
1230,argive,6
1231,argo,4
1232,argon,5
1233,argonaut,8
1234,argonne,7
1235,argot,5
1236,argue,5
1237,argument,8
1238,argumentation,13
1239,argumentative,13
1240,argus,5
1241,arhat,5
1242,ariadne,7
1243,arianism,8
1244,arid,4
1245,aries,5
1246,arise,5
1247,arisen,6
1248,aristocracy,11
1249,aristocrat,10
1250,aristocratic,12
1251,aristotelean,12
1252,aristotelian,12
1253,aristotle,9
1254,arithmetic,10
1255,arizona,7
1256,arkansan,8
1257,arkansas,8
1258,arlen,5
1259,arlene,6
1260,arlington,9
1261,armada,6
1262,armadillo,9
1263,armageddon,10
1264,armament,8
1265,armata,6
1266,armature,8
1267,armchair,8
1268,armco,5
1269,armenia,7
1270,armenian,8
1271,armful,6
1272,armhole,7
1273,armillaria,10
1274,armistice,9
1275,armload,7
1276,armoire,7
1277,armonk,6
1278,armour,6
1279,armpit,6
1280,armstrong,9
1281,army,4
1282,arnold,6
1283,aroma,5
1284,aromatic,8
1285,arose,5
1286,around,6
1287,arousal,7
1288,arouse,6
1289,arpeggio,8
1290,arrack,6
1291,arragon,7
1292,arraign,7
1293,arrange,7
1294,arrangeable,11
1295,array,5
1296,arrear,6
1297,arrest,6
1298,arrhenius,9
1299,arrival,7
1300,arrive,6
1301,arrogant,8
1302,arrogate,8
1303,arrow,5
1304,arrowhead,9
1305,arrowroot,9
1306,arroyo,6
1307,arsenal,7
1308,arsenate,8
1309,arsenic,7
1310,arsenide,8
1311,arsine,6
1312,arson,5
1313,artemis,7
1314,artemisia,9
1315,arterial,8
1316,arteriole,9
1317,arteriolosclerosis,18
1318,arteriosclerosis,16
1319,artery,6
1320,artful,6
1321,arthritis,9
1322,arthur,6
1323,artichoke,9
1324,article,7
1325,articulate,10
1326,articulatory,12
1327,artie,5
1328,artifact,8
1329,artifice,8
1330,artificial,10
1331,artillery,9
1332,artisan,7
1333,artistry,8
1334,arturo,6
1335,artwork,7
1336,arty,4
1337,aruba,5
1338,arum,4
1339,aryl,4
1340,asbestos,8
1341,ascend,6
1342,ascendant,9
1343,ascension,9
1344,ascent,6
1345,ascertain,9
1346,ascetic,7
1347,asceticism,10
1348,ascomycetes,11
1349,ascribe,7
1350,ascription,10
1351,aseptic,7
1352,asexual,7
1353,ashame,6
1354,ashamed,7
1355,ashen,5
1356,asher,5
1357,asheville,9
1358,ashland,7
1359,ashley,6
1360,ashman,6
1361,ashmen,6
1362,ashmolean,9
1363,ashore,6
1364,ashtray,7
1365,ashy,4
1366,asia,4
1367,asiatic,7
1368,aside,5
1369,asilomar,8
1370,asinine,7
1371,askance,7
1372,askew,5
1373,asleep,6
1374,asocial,7
1375,asparagine,10
1376,asparagus,9
1377,aspartic,8
1378,aspect,6
1379,aspen,5
1380,asperity,8
1381,aspersion,9
1382,asphalt,7
1383,aspheric,8
1384,asphyxiate,10
1385,aspidistra,10
1386,aspirant,8
1387,aspirate,8
1388,aspire,6
1389,aspirin,7
1390,asplenium,9
1391,assai,5
1392,assail,6
1393,assailant,9
1394,assam,5
1395,assassin,8
1396,assassinate,11
1397,assault,7
1398,assay,5
1399,assemblage,10
1400,assemble,8
1401,assent,6
1402,assert,6
1403,assess,6
1404,assessor,8
1405,asset,5
1406,assiduity,9
1407,assiduous,9
1408,assign,6
1409,assignation,11
1410,assignee,8
1411,assimilable,11
1412,assimilate,10
1413,assist,6
1414,assistant,9
1415,associable,10
1416,associate,9
1417,assonant,8
1418,assort,6
1419,assuage,7
1420,assume,6
1421,assumption,10
1422,assurance,9
1423,assure,6
1424,assyria,7
1425,assyriology,11
1426,astarte,7
1427,astatine,8
1428,aster,5
1429,asteria,7
1430,asterisk,8
1431,asteroid,8
1432,asteroidal,10
1433,asthma,6
1434,astigmat,8
1435,astigmatic,10
1436,astigmatism,11
1437,astonish,8
1438,astor,5
1439,astoria,7
1440,astound,7
1441,astraddle,9
1442,astral,6
1443,astray,6
1444,astride,7
1445,astringent,10
1446,astrology,9
1447,astronaut,9
1448,astronautic,11
1449,astronomer,10
1450,astronomic,10
1451,astronomy,9
1452,astrophysical,13
1453,astrophysicist,14
1454,astrophysics,12
1455,astute,6
1456,asuncion,8
1457,asunder,7
1458,asylum,6
1459,asymmetry,9
1460,asymptote,9
1461,asymptotic,10
1462,asynchronous,12
1463,asynchrony,10
1464,atalanta,8
1465,atavism,7
1466,atavistic,9
1467,atchison,8
1468,athabascan,10
1469,atheism,7
1470,atheist,7
1471,athena,6
1472,athenian,8
1473,athens,6
1474,athlete,7
1475,athletic,8
1476,athwart,7
1477,atkins,6
1478,atkinson,8
1479,atlanta,7
1480,atlantes,8
1481,atlantic,8
1482,atlantica,9
1483,atlantis,8
1484,atlas,5
1485,atmosphere,10
1486,atmospheric,11
1487,atom,4
1488,atomic,6
1489,atonal,6
1490,atone,5
1491,atop,4
1492,atreus,6
1493,atrium,6
1494,atrocious,9
1495,atrocity,8
1496,atrophic,8
1497,atrophy,7
1498,atropos,7
1499,attach,6
1500,attache,7
1501,attack,6
1502,attain,6
1503,attainder,9
1504,attempt,7
1505,attend,6
1506,attendant,9
1507,attendee,8
1508,attention,9
1509,attentive,9
1510,attenuate,9
1511,attest,6
1512,attestation,11
1513,attic,5
1514,attica,6
1515,attire,6
1516,attitude,8
1517,attitudinal,11
1518,attorney,8
1519,attract,7
1520,attribute,9
1521,attribution,11
1522,attributive,11
1523,attrition,9
1524,attune,6
1525,atwater,7
1526,atwood,6
1527,atypic,6
1528,auberge,7
1529,aubrey,6
1530,auburn,6
1531,auckland,8
1532,auction,7
1533,auctioneer,10
1534,audacious,9
1535,audacity,8
1536,audible,7
1537,audience,8
1538,audio,5
1539,audiotape,9
1540,audiovisual,11
1541,audit,5
1542,audition,8
1543,auditor,7
1544,auditorium,10
1545,auditory,8
1546,audrey,6
1547,audubon,7
1548,auerbach,8
1549,augean,6
1550,augend,6
1551,auger,5
1552,augite,6
1553,augment,7
1554,augmentation,12
1555,augur,5
1556,august,6
1557,augusta,7
1558,augustan,8
1559,augustine,9
1560,augustus,8
1561,aunt,4
1562,auntie,6
1563,aura,4
1564,aural,5
1565,aurelius,8
1566,aureomycin,10
1567,auric,5
1568,auriga,6
1569,aurochs,7
1570,aurora,6
1571,auschwitz,9
1572,auspices,8
1573,auspicious,10
1574,austenite,9
1575,austere,7
1576,austin,6
1577,australia,9
1578,australis,9
1579,australite,10
1580,austria,7
1581,authentic,9
1582,authenticate,12
1583,author,6
1584,authoritarian,13
1585,authoritative,13
1586,autism,6
1587,autistic,8
1588,auto,4
1589,autobiography,13
1590,autoclave,9
1591,autocollimate,13
1592,autocorrelate,13
1593,autocracy,9
1594,autocrat,8
1595,autocratic,10
1596,autograph,9
1597,automat,7
1598,automata,8
1599,automate,8
1600,automatic,9
1601,automaton,9
1602,automobile,10
1603,automorphic,11
1604,automorphism,12
1605,automotive,10
1606,autonomic,9
1607,autonomous,10
1608,autonomy,8
1609,autopsy,7
1610,autosuggestible,15
1611,autotransformer,15
1612,autumn,6
1613,autumnal,8
1614,auxiliary,9
1615,avail,5
1616,avalanche,9
1617,avarice,7
1618,avaricious,10
1619,avenge,6
1620,aventine,8
1621,avenue,6
1622,aver,4
1623,average,7
